Measurement Date,Month,Year,Cell Type,Group(s),Efficiency (%),,,,,,,,,,,,,,,,
Feb-10,2,2010,Dye Sensitized,Sony,9.2,,,,,,,,,,,,,,,,
Sep-10,9,2010,CdTe,ASP Hangzhou,12.5,,,,,,,,,,,,,,,,
Nov-10,11,2010,CI(G)S,Miasole,15.7,,,,,,,,,,,,,,,,
Apr-10,4,2010,CI(G)S,Miasole,13.8,,,,,,,,,,,,,,,,
2010,,2010,Si - multi,Kyocera,17.3,,,,,,,,,,,,,,,,
Aug-10,8,2010,Si - multi,Schott Solar,17.55,,,,,,,,,,,,,,,,
Oct-11,10,2011,CI(G)S,Solibro,17.4,,,,,,,,,,,,,,,,
Sep-11,9,2011,OPV,Sumitomo Chemical,4.2,,,,,,,,,,,,,,,,
Dec-11,12,2011,GaAs - 1j,Alta Devices,23.5,,,,,,,,,,,,,,,,
Apr-11,4,2011,GaAs - 1j,Alta Devices,21.1,,,,,,,,,,,,,,,,
Jan-11,1,2011,CdTe,PrimeStar Solar,12.8,,,,,,,,,,,,,,,,
Aug-11,8,2011,Si - multi,Schott Solar,18.2,,,,,,,,,,,,,,,,
Feb-11,2,2011,Si - multi,Q-Cells,17.8,,,,,,,,,,,,,,,,
Mar-12,3,2012,OPV,Sumitomo Chemical,5.2,,,,,,,,,,,,,,,,
Oct-12,10,2012,OPV,Toshiba,6.8,,,,,,,,,,,,,,,,
Oct-12,10,2012,OPV,Toshiba,6.8,,,,,,,,,,,,,,,,
Sep-12,9,2012,Dye Sensitized,Sharp,8.8,,,,,,,,,,,,,,,,
Nov-12,11,2012,GaAs - 1j,Alta Devices,24.1,,,,,,,,,,,,,,,,
Jan-12,1,2012,CdTe,First Solar,15.3,,,,,,,,,,,,,,,,
May-12,5,2012,GaAs - 3j - conc,Amonix,33.5,,,,,,,,,,,,,,,,
Sep-12,9,2012,a-Si - 3j,LG Electronics,10.5,,,,,,,,,,,,,,,,
Jan-12,1,2012,Si - multi,Q-Cells,18.5,,,,,,,,,,,,,,,,
Aug-12,8,2012,Si - mono - IBC,SunPower,22.4,,,,,,,,,,,,,,,,
Sep-13,9,2013,CI(G)S,Solibro,18.7,,,,,,,,,,,,,,,,
Jan-13,1,2013,OPV,Toshiba,8.2,,,,,,,,,,,,,,,,
Aug-13,8,2013,OPV,Toshiba,8.5,,,,,,,,,,,,,,,,
Aug-13,8,2013,GaAs - 3jÿ-ÿconc,Amonix,35.9,,,,,,,,,,,,,,,,
Feb-13,2,2013,CdTe,First Solar,16.1,,,,,,,,,,,,,,,,
Dec-13,12,2013,a-Si - 2j,"TEL Solar, Trubbach Labs",11.6,,,,,,,,,,,,,,,,
Sep-13,9,2013,a-Si - 3j,LG Electronics,10.9,,,,,,,,,,,,,,,,
Jun-14,6,2014,Dye sensitized,Fujikura/Tokyo U.,10.0,,,,,,,,,,,,,,,,
Feb-14,2,2014,OPV,Toshiba,9.1,,,,,,,,,,,,,,,,
Aug-14,8,2014,OPV,Toshiba,9.5,,,,,,,,,,,,,,,,
Apr-14,4,2014,a-Si - 2j,"TEL Solar, Trubbach Labs",11.8,,,,,,,,,,,,,,,,
Apr-14,4,2014,Si - other,Solexel,21.1,,,,,,,,,,,,,,,,
Jan-14,1,2014,CI(G)S,Avancis,16.6,,,,,,,,,,,,,,,,
May-14,5,2014,OPV,Toshiba,8.7,,,,,,,,,,,,,,,,
Jun-14,6,2014,CI(G)S,Solar Frontier,17.5,,,,,,,,,,,,,,,,
May-14,5,2014,GaAs - 4j - conc,Fraunhofer ISE,36.7,,,,,,,,,,,,,,,,
Feb-14,2,2014,CdTe,First Solar,17.5,,,,,,,,,,,,,,,,
Jun-14,6,2014,a-Si - 2j,"TEL Solar, Trubbach Labs",12.2,,,,,,,,,,,,,,,,
Sep-14,9,2014,a-Si - 2j,"TEL Solar, Trubbach Labs",12.3,,,,,,,,,,,,,,,,
Nov-14,11,2014,Hybrid - conc,UNSW,40.4,,,,,,,,,,,,,,,,
Feb-15,2,2015,OPV,Toshiba,9.7,,,,,,,,,,,,,,,,
Feb-15,2,2015,Dye Sensitized,Sharp,10.7,,,,,,,,,,,,,,,,
Apr-15,4,2015,GaAs - 4j - conc,Fraunhofer ISE,38.9,,,,,,,,,,,,,,,,
Apr-15,4,2015,CdTe,First Solar,18.6,,,,,,,,,,,,,,,,
Jun-15,6,2015,Si - multi,Trina Solar,19.2,,,,,,,,,,,,,,,,
Dec-15,12,2015,Si - multi,Hanwha Q Cells,19.5,,,,,,,,,,,,,,,,
Jun-15,6,2015,Si - mono - IBC,SunPower,22.8,,,,,,,,,,,,,,,,
Jul-15,7,2015,4j - conc,Fraunhofer ISE,43.4,,,,,,,,,,,,,,,,
Apr-16,4,2016,Hybrid - 4j - conc,UNSW/Azur/Trina,34.5,,,,,,,,,,,,,,,,
Sep-16,9,2016,Perovskite,SJTU/NIMS,12.1,,,,,,,,,,,,,,,,
Apr-16,4,2016,Hybrid - 4j - conc,UNSW,40.6,,,,,,,,,,,,,,,,
Nov-16,11,2016,GaAs - 1j,Alta Devices,24.8,,,,,,,,,,,,,,,,
Feb-16,2,2016,GaAs - 3j,Sharp,31.2,,,,,,,,,,,,,,,,
Jan-16,1,2016,Si - mono - HJÿ- IBC,Panasonic,23.8,,,,,,,,,,,,,,,,
Sep-16,9,2016,Si - mono - HJ - IBC,Kaneka,24.4,,,,,,,,,,,,,,,,
Oct-16,10,2016,Si - multi,Trina Solar,19.9,,,,,,,,,,,,,,,,
Apr-17,4,2017,Perovskite,Microquanta,16.0,,,,,,,,,,,,,,,,
Jan-17,1,2017,CI(G)S,Solar Frontier,19.2,,,,,,,,,,,,,,,,
Nov-17,11,2017,GaAs - 1j,Alta Devices,25.1,,,,,,,,,,,,,,,,
May-18,5,2018,Perovskite,Microquanta Semiconductor,17.25,,,,,,,,,,,,,,,,
Mar-18,3,2018,Perovskite,Toshiba,11.7,,,,,,,,,,,,,,,,
Apr-18,4,2018,Perovskite,Toshiba,11.6,,,,,,,,,,,,,,,,
Oct-19,10,2019,OPV,ZAE Bayern,11.7,,,,,,,,,,,,,,,,
May-19,5,2019,Perovskite,Panasonic,16.1,,,,,,,,,,,,,,,,
Apr-19,4,2019,CI(G)S,Miasole,17.4,,,,,,,,,,,,,,,,
Oct-19,10,2019,Si - multi,Hanwha Q cells,20.4,,,,,,,,,,,,,,,,
Sep-19,9,2019,CdTe,First Solar,19,,,,,,,,,,,,,,,,
Jan-20,#REF!,#REF!,Perovskite,Panasonic,17.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
